"-1","-01","ALL","Selected Project Check","Selected Project Check"
"1","01","GEN","Genesis","'1 Moses' in some Bibles"
"2","02","EXO","Exodus","'2 Moses' in some Bibles"
"3","03","LEV","Leviticus","'3 Moses' in some Bibles"
"4","04","NUM","Numbers","'4 Moses' in some Bibles"
"5","05","DEU","Deuteronomy","'5 Moses' in some Bibles"
"6","06","JOS","Joshua"
"7","07","JDG","Judges"
"8","08","RUT","Ruth"
"9","09","1SA","1 Samuel","1 Kings or Kingdoms in Orthodox Bibles; do not confuse this abbreviation with ISA for Isaiah"
"10","10","2SA","2 Samuel","2 Kings or Kingdoms in Orthodox Bibles"
"11","11","1KI","1 Kings","3 Kings or Kingdoms in Orthodox Bibles"
"12","12","2KI","2 Kings","4 Kings or Kingdoms in Orthodox Bibles"
"13","13","1CH","1 Chronicles","1 Paralipomenon in Orthodox Bibles"
"14","14","2CH","2 Chronicles","2 Paralipomenon in Orthodox Bibles"
"15","15","EZR","Ezra","This is for Hebrew Ezra"
"16","16","NEH","Nehemiah","Sometimes appended to Ezra; called 2 Esdras in the Vulgate"
"17","17","EST","Esther (Hebrew)","This is for Hebrew Esther; for the longer Greek LXX Esther use ESG"
"18","18","JOB","Job"
"19","19","PSA","Psalms","150 Psalms in Hebrew"
"20","20","PRO","Proverbs","31 Proverbs"
"21","21","ECC","Ecclesiastes","Qoholeth in Catholic Bibles; for Ecclesiasticus use SIR"
"22","22","SNG","Song of Songs","Song of Solomon"
"23","23","ISA","Isaiah","Do not confuse this abbreviation with 1SA for 1 Samuel"
"24","24","JER","Jeremiah","The Book of Jeremiah; for the Letter of Jeremiah use LJE"
"25","25","LAM","Lamentations","The Lamentations of Jeremiah"
"26","26","EZK","Ezekiel"
"27","27","DAN","Daniel (Hebrew)","This is for Hebrew Daniel; for the longer Greek LXX Daniel use DAG"
"28","28","HOS","Hosea"
"29","29","JOL","Joel"
"30","30","AMO","Amos"
"31","31","OBA","Obadiah"
"32","32","JON","Jonah","Do not confuse this abbreviation with JHN for John"
"33","33","MIC","Micah"
"34","34","NAM","Nahum"
"35","35","HAB","Habakkuk"
"36","36","ZEP","Zephaniah"
"37","37","HAG","Haggai"
"38","38","ZEC","Zechariah"
"39","39","MAL","Malachi"
"40","41","MAT","Matthew","The Gospel according to Matthew"
"41","42","MRK","Mark","The Gospel according to Mark"
"42","43","LUK","Luke","The Gospel according to Luke"
"43","44","JHN","John","The Gospel according to John"
"44","45","ACT","Acts","The Acts of the Apostles"
"45","46","ROM","Romans","The Letter of Paul to the Romans"
"46","47","1CO","1 Corinthians","The First Letter of Paul to the Corinthians"
"47","48","2CO","2 Corinthians","The Second Letter of Paul to the Corinthians"
"48","49","GAL","Galatians","The Letter of Paul to the Galatians"
"49","50","EPH","Ephesians","The Letter of Paul to the Ephesians"
"50","51","PHP","Philippians","The Letter of Paul to the Philippians"
"51","52","COL","Colossians","The Letter of Paul to the Colossians"
"52","53","1TH","1 Thessalonians","The First Letter of Paul to the Thessalonians"
"53","54","2TH","2 Thessalonians","The Second Letter of Paul to the Thessalonians"
"54","55","1TI","1 Timothy","The First Letter of Paul to Timothy"
"55","56","2TI","2 Timothy","The Second Letter of Paul to Timothy"
"56","57","TIT","Titus","The Letter of Paul to Titus"
"57","58","PHM","Philemon","The Letter of Paul to Philemon"
"58","59","HEB","Hebrews","The Letter to the Hebrews"
"59","60","JAS","James","The Letter of James"
"60","61","1PE","1 Peter","The First Letter of Peter"
"61","62","2PE","2 Peter","The Second Letter of Peter"
"62","63","1JN","1 John","The First Letter of John"
"63","64","2JN","2 John","The Second Letter of John"
"64","65","3JN","3 John","The Third Letter of John"
"65","66","JUD","Jude","The Letter of Jude; do not confuse this abbreviation with JDG for Judges"
"66","67","REV","Revelation","The Revelation to John; called Apocalypse in Catholic Bibles"
"67","68","TOB","Tobit"
"68","69","JDT","Judith"
"69","70","ESG","Esther Greek"
"70","71","WIS","Wisdom of Solomon"
"71","72","SIR","Sirach","Ecclesiasticus or Jesus son of Sirach"
"72","73","BAR","Baruch","5 chapters in Orthodox Bibles (LJE is separate); 6 chapters in Catholic Bibles (includes LJE); called 1 Baruch in Syriac Bibles"
"73","74","LJE","Letter of Jeremiah","Sometimes included in Baruch; called 'Rest of Jeremiah' in Ethiopia"
"74","75","S3Y","Song of the 3 Young Men","Includes the Prayer of Azariah; sometimes included in Greek Daniel"
"75","76","SUS","Susanna","Sometimes included in Greek Daniel"
"76","77","BEL","Bel and the Dragon","Sometimes included in Greek Daniel; called 'Rest of Daniel' in Ethiopia"
"77","78","1MA","1 Maccabees","Called '3 Maccabees' in some traditions"
"78","79","2MA","2 Maccabees","Called '1 Maccabees' in some traditions"
"79","80","3MA","3 Maccabees","Called '2 Maccabees' in some traditions"
"80","81","4MA","4 Maccabees","In an appendix to the Greek Bible and in the Georgian Bible"
"81","82","1ES","1 Esdras (Greek)","The 9 chapter book of Greek Ezra in the LXX"
"82","83","2ES","2 Esdras (Latin)","The 16 chapter book of Latin Esdras called '3 Esdras' in Russian Bibles and called '4 Esdras' in the Vulgate; for the 12 chapter Apocalypse of Ezra use EZA"
"83","84","MAN","Prayer of Manasseh","Sometimes appended to 2 Chronicles"
"84","85","PS2","Psalm 151","An additional Psalm in the Septuagint"
"85","86","ODA","Odae/Odes","A book in some editions of the Septuagint; Odes has different contents in Greek"
"86","87","PSS","Psalms of Solomon","A book in some editions of the Septuagint"
"87","A4","EZA","Ezra Apocalypse","12 chapter book of Ezra Apocalypse; called '3 Ezra' in the Armenian Bible"
"88","A5","5EZ","5 Ezra","2 chapter Latin preface to Ezra Apocalypse; formerly called 5ES"
"89","A6","6EZ","6 Ezra","2 chapter Latin conclusion to Ezra Apocalypse; formerly called 6ES"
"90","B2","DAG","Daniel Greek","The 14 chapter version of Daniel from the Septuagint including Greek additions"
"91","B3","PS3","Psalms 152-155","Additional Psalms 152-155 found in West Syriac manuscripts"
"92","B4","2BA","2 Baruch (Apocalypse)","The Apocalypse of Baruch in Syriac Bibles"
"93","B5","LBA","Letter of Baruch","Sometimes appended to 2 Baruch; sometimes separate in Syriac Bibles"
"94","B6","JUB","Jubilees","Ancient Hebrew book used in the Ethiopian Bible"
"95","B7","ENO","Enoch","Sometimes called '1 Enoch'; ancient Hebrew book in the Ethiopian Bible"
"96","B8","1MQ","1 Meqabyan/Mekabis","Book of Mekabis of Benjamin in the Ethiopian Bible"
"97","B9","2MQ","2 Meqabyan/Mekabis","Book of Mekabis of Moab in the Ethiopian Bible"
"98","C0","3MQ","3 Meqabyan/Mekabis","Book of Meqabyan in the Ethiopian Bible"
"99","C1","REP","Reproof","Proverbs part 2: Used in the Ethiopian Bible"
"100","C2","4BA","4 Baruch","Paralipomenon of Jeremiah"
"101","C3","LAO","Letter to the Laodiceans","A Latin Vulgate book"
"102","A0","FRT","Front Matter"
"103","A1","BAK","Back Matter"
"104","A2","OTH","Other Matter"
"105","A7","INT","Introduction Matter"
"106","A8","CNC","Concordance"
"107","A9","GLO","Glossary / Wordlist"
"108","B0","TDX","Topical Index"
"109","B1","NDX","Names Index"
"110","94","XXA","Extra material"
"111","95","XXB","Extra material"
"112","96","XXC","Extra material"
"113","97","XXD","Extra material"
"114","98","XXE","Extra material"
"115","99","XXF","Extra material"
"116","100","XXG","Extra material"
